Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
MC_F8_F1_feb21	Default	2/21/2017	10:16 AM	535.83	10.717	4.761	2.25	2.50	50.00	230	4.286	0.045
MC_F7_F1_feb21	Default	2/21/2017	10:18 AM	172.11	3.442	1.614	2.13	1.98	50.00	230	1.742	0.416
MC_F6_F1_feb21	Default	2/21/2017	10:19 AM	243.96	4.879	2.144	2.28	2.53	50.00	230	1.927	0.007
MC_F6_F1_feb21	Default	2/21/2017	10:21 AM	318.03	6.361	2.821	2.26	2.44	50.00	230	2.611	0.398
MC_F5_F1_feb21	Default	2/21/2017	10:23 AM	311.68	6.234	2.769	2.25	2.25	50.00	230	2.770	0.176
MC_F4_F1_feb21	Default	2/21/2017	10:25 AM	508.28	10.166	4.474	2.27	2.45	50.00	230	4.152	-0.190
MC_F3_F1_feb21	Default	2/21/2017	10:27 AM	184.46	3.689	1.806	2.04	1.22	50.00	230	3.025	0.557
MC_F3_F1_feb21	Default	2/21/2017	10:29 AM	114.03	2.281	1.039	2.20	1.68	50.00	230	1.356	0.134
MC_F2_F1_feb21	Default	2/21/2017	10:30 AM	524.84	10.497	4.810	2.18	2.05	50.00	230	5.109	0.411
MC_F1_F1_feb21	Default	2/21/2017	10:32 AM	419.70	8.394	3.652	2.30	2.52	50.00	230	3.327	-0.017
MC_F18_F1_feb21	Default	2/21/2017	10:34 AM	163.47	3.269	1.474	2.22	2.33	50.00	230	1.403	0.055
MC_F17_F1_feb21	Default	2/21/2017	10:36 AM	8.50	0.170	0.066	2.57	3.44	50.00	230	0.049	-0.068
MC_F17_F1_feb21	Default	2/21/2017	10:38 AM	6.14	0.123	0.067	1.84	5.55	50.00	230	0.022	-0.061
MC_F15_F1_feb21	Default	2/21/2017	10:40 AM	171.16	3.423	1.541	2.22	2.20	50.00	230	1.556	0.137
MC_F14_F1_feb21	Default	2/21/2017	10:41 AM	517.58	10.352	4.754	2.18	1.94	50.00	230	5.339	0.489
MC_F13_F1_feb21	Default	2/21/2017	10:43 AM	481.76	9.635	4.436	2.17	2.12	50.00	230	4.543	0.916
MC_F12_F1_feb21	Default	2/21/2017	10:45 AM	144.67	2.893	1.324	2.18	2.26	50.00	230	1.280	0.050
MC_F11_F1_feb21	Default	2/21/2017	10:46 AM	237.38	4.748	2.140	2.22	2.32	50.00	230	2.042	0.074
MC_F9_F1_feb21	Default	2/21/2017	10:48 AM	314.64	6.293	2.910	2.16	2.14	50.00	230	2.934	0.233
