population female_id sub_id generation source_box sex unique_id tbd ng_ul r260.280 r260.230
AFC 48 3 F1 C NA AFC-48-3-F1 FALSE 37.38 2.03 2.29
AFC 48 4 F1 C NA AFC-48-4-F1 FALSE 556.78 2.13 2.12
AFC 49 1 F1 C NA AFC-49-1-F1 FALSE 284.39 1.87 1
AFC 49 1 F1 C NA AFC-49-1-F1 FALSE 201.74 1.97 1.28
AFC 49 2 F1 C NA AFC-49-2-F1 FALSE 15.78 1.93 1.48
AFC 49 2 F1 C NA AFC-49-2-F1 FALSE 13.7 1.91 1.54
AFC 49 3 F1 C NA AFC-49-3-F1 FALSE 78.85 2.05 2.04
AFC 49 4 F1 C NA AFC-49-4-F1 FALSE 252.93 1.97 1.24
AFC 49 4 F1 C NA AFC-49-4-F1 FALSE 146.2 2.19 2
AFC 50 1 F1 A NA AFC-50-1-F1 FALSE 294.06 2.1 3.09
AFC 50 1 F1 A NA AFC-50-1-F1 FALSE 137.31 2.07 1.62
AFC 50 2 F1 A NA AFC-50-2-F1 FALSE 312.13 2.11 1.87
AFC 50 3 F1 A NA AFC-50-3-F1 FALSE 325.39 2.17 2.3
AFC 50 4 F1 A NA AFC-50-4-F1 FALSE 503.08 2.25 2.19
AFC 51 1 F1 B NA AFC-51-1-F1 FALSE 397.32 2.1 1.69
AFC 51 1 F1 B NA AFC-51-1-F1 FALSE 21.66 2.48 2.39
AFC 51 1 F1 B NA AFC-51-1-F1 FALSE 21.24 2.09 2.25
AFC 51 2 F1 B NA AFC-51-2-F1 FALSE 86.93 2.19 2.46
AFC 51 3 F1 B NA AFC-51-3-F1 FALSE 333.82 2.24 3.17
AFC 51 4 F1 B NA AFC-51-4-F1 FALSE 37.56 2.17 -1.81
AFC 54 1 F1 C NA AFC-54-1-F1 FALSE 406.68 2.21 2.27
AFC 54 2 F1 C NA AFC-54-2-F1 FALSE 461.4 2.2 2.24
AFC 54 3 F1 C NA AFC-54-3-F1 FALSE 482.55 2.15 2.19
AFC 54 4 F1 C NA AFC-54-4-F1 FALSE 13.85 1.88 1.94
AFC 54 4 F1 C NA AFC-54-4-F1 FALSE 21.7 1.88 1.98
AFC 55 1 F1 A NA AFC-55-1-F1 FALSE 258.49 1.94 4.2
AFC 55 1 F1 A NA AFC-55-1-F1 FALSE 312.52 2.13 2.18
AFC 55 2 F1 A NA AFC-55-2-F1 FALSE 238.06 2.15 1.98
AFC 55 3 F1 A NA AFC-55-3-F1 FALSE 378.25 2.18 2.37
AFC 55 3 F1 A NA AFC-55-3-F1 FALSE 335.48 2.16 2.39
AFC 55 4 F1 A NA AFC-55-4-F1 FALSE 312.26 2.15 2.62
AFC 56 1 F1 C NA AFC-56-1-F1 FALSE 298.22 2.27 2.48
AFC 56 2 F1 C NA AFC-56-2-F1 FALSE 261.35 2.23 2.34
AFC 56 3 F1 C NA AFC-56-3-F1 FALSE 7.61 1.88 2.02
AFC 56 3 F1 C NA AFC-56-3-F1 FALSE 8.26 2.54 2.14
AFC 56 4 F1 C NA AFC-56-4-F1 FALSE 394.55 2.22 2.35
AFC 57 1 F1 C NA AFC-57-1-F1 FALSE 570.06 2.09 2.21
AFC 57 2 F1 C NA AFC-57-2-F1 FALSE 54.57 2.09 2.41
AFC 57 3 F1 C NA AFC-57-3-F1 FALSE 550.15 2.19 2.2
AFC 57 4 F1 C NA AFC-57-4-F1 FALSE 396.02 2.16 2.37
AFC 59 1 F1 C NA AFC-59-1-F1 FALSE 332.49 2.12 1.89
AFC 59 2 F1 C NA AFC-59-2-F1 FALSE 154.87 2.08 1.55
AFC 59 3 F1 C NA AFC-59-3-F1 FALSE 100.23 2.07 1.62
AFC 59 4 F1 C NA AFC-59-4-F1 TRUE NA NA NA
AFC 60 1 F1 C NA AFC-60-1-F1 FALSE 208.06 2.19 2.27
AFC 60 2 F1 C NA AFC-60-2-F1 FALSE 18.3 1.73 2.42
AFC 60 2 F1 C NA AFC-60-2-F1 FALSE 19.85 2.02 2.37
AFC 60 3 F1 C NA AFC-60-3-F1 FALSE 264.13 1.87 0.98
AFC 60 3 F1 C NA AFC-60-3-F1 FALSE 154.51 2.05 1.34
AFC 60 4 F1 C NA AFC-60-4-F1 FALSE 403.75 2.09 1.83
AFC 63 1 F1 B NA AFC-63-1-F1 FALSE 164.83 2.12 1.89
AFC 63 2 F1 B NA AFC-63-2-F1 TRUE NA NA NA
AFC 63 3 F1 B NA AFC-63-3-F1 FALSE 66.41 1.89 -16.85
AFC 63 3 F1 B NA AFC-63-3-F1 FALSE 54.42 1.98 -3.21
AFC 63 4 F1 B NA AFC-63-4-F1 FALSE 437.67 2.18 2.95
AFC 64 1 F1 B NA AFC-64-1-F1 FALSE 336.67 2.13 3.17
AFC 64 1 F1 B NA AFC-64-1-F1 FALSE 178.11 2.1 1.91
AFC 64 2 F1 B NA AFC-64-2-F1 FALSE 318.22 2.14 2
AFC 64 3 F1 B NA AFC-64-3-F1 FALSE 528.07 2 1.73
AFC 64 4 F1 B NA AFC-64-4-F1 FALSE 418.13 2.26 1.77
AFC 66 1 F1 B NA AFC-66-1-F1 FALSE 169.38 1.99 2.67
AFC 66 1 F1 B NA AFC-66-1-F1 FALSE 187.25 2.07 1.55
AFC 66 2 F1 B NA AFC-66-2-F1 FALSE 181.96 2.02 1.66
AFC 66 3 F1 B NA AFC-66-3-F1 FALSE 355.52 2.18 2.68
AFC 66 4 F1 B NA AFC-66-4-F1 TRUE NA NA NA
AFC 67 1 F1 A NA AFC-67-1-F1 FALSE 61.4 1.97 -1.54
AFC 67 2 F1 A NA AFC-67-2-F1 FALSE 357.39 2.19 1.95
AFC 67 3 F1 A NA AFC-67-3-F1 FALSE 64.7 2.15 2.12
AFC 67 4 F1 A NA AFC-67-4-F1 FALSE 31.7 2.01 2.32
AFC 67 4 F1 A NA AFC-67-4-F1 FALSE 54.31 1.95 2.29
AFC 68 1 F1 A NA AFC-68-1-F1 FALSE 154.33 2.16 -475.98
AFC 68 1 F1 A NA AFC-68-1-F1 FALSE 3.01 3.92 1.36
AFC 68 1 F1 A NA AFC-68-1-F1 FALSE 2.74 2.41 1.3
AFC 68 2 F1 A NA AFC-68-2-F1 FALSE 100.14 1.99 1.39
AFC 68 2 F1 A NA AFC-68-2-F1 FALSE 90.23 1.97 1.61
AFC 68 3 F1 A NA AFC-68-3-F1 FALSE 348.57 2.12 1.93
AFC 68 4 F1 A NA AFC-68-4-F1 FALSE 175.98 1.78 1.8
AFC 68 4 F1 A NA AFC-68-4-F1 FALSE 167.52 1.92 1.76
AFC 70 1 F1 A NA AFC-70-1-F1 FALSE 587.17 2.14 2.9
AFC 70 1 F1 A NA AFC-70-1-F1 FALSE 374.79 2.13 1.84
AFC 70 2 F1 A NA AFC-70-2-F1 FALSE 629.79 2.2 2.28
AFC 70 3 F1 A NA AFC-70-3-F1 FALSE 723.88 2.21 2.01
AFC 70 4 F1 A NA AFC-70-4-F1 FALSE 357.87 1.99 1.7
AFC 71 1 F1 A NA AFC-71-1-F1 FALSE 481.36 2.13 3.23
AFC 71 1 F1 A NA AFC-71-1-F1 FALSE 72.19 1.95 1.86
AFC 71 2 F1 A NA AFC-71-2-F1 FALSE 532.01 2.12 2.15
AFC 71 3 F1 A NA AFC-71-3-F1 FALSE 550.46 2.03 2.12
AFC 71 4 F1 A NA AFC-71-4-F1 FALSE 242.26 2.1 2.01
MC 6 1 F1 D NA MC-6-1-F1 TRUE NA NA NA
MC 6 2 F1 D NA MC-6-2-F1 FALSE 386.41 1.9 0.98
MC 6 3 F1 D NA MC-6-3-F1 TRUE NA NA NA
MC 6 4 F1 D NA MC-6-4-F1 TRUE NA NA NA
MC 9 1 F1 D NA MC-9-1-F1 FALSE 20.4 1.9 2.11
MC 9 2 F1 D NA MC-9-2-F1 FALSE 531.48 2.04 1.38
MC 9 3 F1 D NA MC-9-3-F1 TRUE NA NA NA
MC 9 4 F1 D NA MC-9-4-F1 TRUE NA NA NA
MC 13 1 F1 D NA MC-13-1-F1 FALSE 293.66 2.1 1.49
MC 13 1 F1 D NA MC-13-1-F1 FALSE 275.01 2.07 1.47
MC 13 1 F1 D NA MC-13-1-F1 FALSE 204.44 2.2 1.79
MC 13 2 F1 D NA MC-13-2-F1 FALSE 292.57 2.11 1.51
MC 13 2 F1 D NA MC-13-2-F1 FALSE 176.03 2.25 1.98
MC 13 3 F1 D NA MC-13-3-F1 FALSE 252.18 2.07 1.49
MC 13 4 F1 D NA MC-13-4-F1 FALSE 405.15 2.19 2.15
MC 14 1 F1 D NA MC-14-1-F1 FALSE 449.74 2.29 2.45
MC 14 2 F1 D NA MC-14-2-F1 FALSE 71.94 1.89 1.65
MC 14 2 F1 D NA MC-14-2-F1 FALSE 72.15 1.84 1.56
MC 14 2 F1 D NA MC-14-2-F1 FALSE 31.91 2.11 0.94
MC 14 3 F1 D NA MC-14-3-F1 FALSE 15.7 1.71 1.57
MC 14 3 F1 D NA MC-14-3-F1 FALSE 45.54 1.29 0.81
MC 14 3 F1 D NA MC-14-3-F1 FALSE 16.71 1.8 1.48
MC 14 4 F1 D NA MC-14-4-F1 FALSE 360.25 2.17 2.38
MC 15 1 F1 D NA MC-15-1-F1 FALSE 170.95 2.19 1.98
MC 15 2 F1 D NA MC-15-2-F1 FALSE 203.21 2.21 1.73
MC 15 3 F1 D NA MC-15-3-F1 FALSE 9.25 3.7 2.76
MC 15 3 F1 D NA MC-15-3-F1 FALSE 9.8 1.51 2.01
MC 15 4 F1 D NA MC-15-4-F1 FALSE 190.2 2.1 2.16
MC 17 1 F1 D NA MC-17-1-F1 FALSE 26.57 2.07 1.43
MC 17 2 F1 D NA MC-17-2-F1 FALSE 209.36 2.16 1.94
MC 17 3 F1 D NA MC-17-3-F1 FALSE 12.44 1.66 1.86
MC 17 3 F1 D NA MC-17-3-F1 FALSE 12.55 1.86 1.5
MC 17 4 F1 D NA MC-17-4-F1 FALSE 39.85 1.83 1.3
MC 17 4 F1 D NA MC-17-4-F1 FALSE 39.46 1.78 1.29
MC 20 1 F1 D NA MC-20-1-F1 FALSE 31.01 1.36 1.22
MC 20 1 F1 D NA MC-20-1-F1 FALSE 22.93 2.22 0.71
MC 20 1 F1 D NA MC-20-1-F1 FALSE 25.88 2.35 0.46
MC 20 2 F1 D NA MC-20-2-F1 FALSE 195.19 2.06 2.09
MC 20 2 F1 D NA MC-20-2-F1 FALSE 72.68 2.25 2.17
MC 20 3 F1 D NA MC-20-3-F1 FALSE 250.53 1.96 1.36
MC 20 3 F1 D NA MC-20-3-F1 FALSE 299.11 1.87 1.13
MC 20 4 F1 D NA MC-20-4-F1 FALSE 56.3 1.88 2.28
MC 20 4 F1 D NA MC-20-4-F1 FALSE 57.22 1.89 2.29
MC 27 1 F1 D NA MC-27-1-F1 FALSE 16.42 2.21 0.96
MC 27 2 F1 D NA MC-27-2-F1 FALSE 17.74 1.99 0.76
MC 27 3 F1 D NA MC-27-3-F1 TRUE NA NA NA
MC 27 4 F1 D NA MC-27-4-F1 TRUE NA NA NA
AFC 68 NA wild A F AFC-68-NA-wild TRUE NA NA NA
AFC 28 NA wild A F AFC-28-NA-wild TRUE NA NA NA
AFC 67 NA wild A F AFC-67-NA-wild TRUE NA NA NA
AFC 70 NA wild A F AFC-70-NA-wild TRUE NA NA NA
AFC 50 NA wild A F AFC-50-NA-wild TRUE NA NA NA
AFC 5 NA wild A F AFC-5-NA-wild TRUE NA NA NA
AFC 55 NA wild A F AFC-55-NA-wild TRUE NA NA NA
AFC 42 NA wild A F AFC-42-NA-wild TRUE NA NA NA
AFC 71 NA wild A F AFC-71-NA-wild TRUE NA NA NA
AFC 7 NA wild A F AFC-7-NA-wild TRUE NA NA NA
AFC 64 NA wild B F AFC-64-NA-wild TRUE NA NA NA
AFC 66 NA wild B F AFC-66-NA-wild TRUE NA NA NA
AFC 63 NA wild B F AFC-63-NA-wild TRUE NA NA NA
AFC 51 NA wild B F AFC-51-NA-wild TRUE NA NA NA
AFC 5 NA wild B F AFC-5-NA-wild TRUE NA NA NA
AFC 15 NA wild B F AFC-15-NA-wild TRUE NA NA NA
AFC 18 NA wild B F AFC-18-NA-wild TRUE NA NA NA
AFC 27 NA wild B F AFC-27-NA-wild TRUE NA NA NA
AFC 25 NA wild B F AFC-25-NA-wild TRUE NA NA NA
AFC 13 NA wild B F AFC-13-NA-wild TRUE NA NA NA
AFC 3 NA wild B F AFC-3-NA-wild TRUE NA NA NA
AFC 1 NA wild B F AFC-1-NA-wild TRUE NA NA NA
AFC 43 NA wild C F AFC-43-NA-wild TRUE NA NA NA
AFC 46 NA wild C F AFC-46-NA-wild TRUE NA NA NA
AFC 47 NA wild C F AFC-47-NA-wild TRUE NA NA NA
AFC 48 NA wild C F AFC-48-NA-wild TRUE NA NA NA
AFC 49 NA wild C F AFC-49-NA-wild TRUE NA NA NA
AFC 54 NA wild C F AFC-54-NA-wild TRUE NA NA NA
AFC 56 NA wild C F AFC-56-NA-wild TRUE NA NA NA
AFC 57 NA wild C F AFC-57-NA-wild TRUE NA NA NA
AFC 59 NA wild C F AFC-59-NA-wild TRUE NA NA NA
AFC 60 NA wild C F AFC-60-NA-wild TRUE NA NA NA
AFC 2 NA wild C F AFC-2-NA-wild TRUE NA NA NA
AFC 6 NA wild C F AFC-6-NA-wild TRUE NA NA NA
AFC 8 NA wild C F AFC-8-NA-wild TRUE NA NA NA
AFC 11 NA wild C F AFC-11-NA-wild TRUE NA NA NA
