sample_id,date,ng_ul,a260,a280,r260.280,r260.230,a340_raw,extraction_date
AFC_F1_18-3_sept28,1/31/2017,411.99,8.24,3.996,2.06,1.84,0.86,NA
AFC_F1_5-4_nov11,1/31/2017,401.69,8.034,3.81,2.11,1.86,0.509,NA
AFC_F1_8-3_nov11,1/31/2017,385.91,7.718,3.648,2.12,1.83,0.537,NA
AFC_F1_7-2_nov11,1/31/2017,362.7,7.254,3.417,2.12,1.86,0.486,NA
AFC_F1_8-2_nov11,1/31/2017,354.06,7.081,3.433,2.06,1.69,1.282,NA
AFC_F1_19-4_sept28,1/31/2017,344.15,6.883,3.269,2.11,1.89,0.37,NA
AFC_F1_2-4_jan31,1/31/2017,323.93,6.479,2.956,2.19,2.38,0.096,NA
AFC_F1_8-4_nov11,1/31/2017,314.41,6.288,3.101,2.03,1.94,1.684,NA
AFC_F1_7-3_nov11,1/31/2017,310.58,6.212,2.993,2.08,1.89,0.681,NA
AFC_F1_15-1_sept28,1/31/2017,300.36,6.007,2.774,2.17,2.09,0.178,NA
AFC_F1_6-2_nov11,1/31/2017,287.26,5.745,2.622,2.19,2.33,0.127,NA
AFC_F1_19-2_sept28,1/31/2017,263.4,5.268,2.844,1.85,1.03,2.134,NA
AFC_F1_19-2_sept28,1/31/2017,235.78,4.716,2.511,1.88,1.2,0.807,NA
AFC_F1_3-1_sept28,1/31/2017,228.83,4.577,2.178,2.1,1.83,0.316,NA
AFC_F1_19-1_sept28,1/31/2017,221.05,4.421,2.259,1.96,1.27,0.549,NA
AFC_F1_3-4_dec06,1/31/2017,193.87,3.877,1.801,2.15,2.21,0.139,NA
AFC_F1_6-3_nov11,1/31/2017,142.38,2.848,1.336,2.13,1.92,0.139,NA
AFC_F1_18-4_sept28,1/31/2017,117.97,2.359,1.132,2.08,1.92,0.205,NA
AFC_F1_2-1_jan31,1/31/2017,117.27,2.345,1.112,2.11,2.04,0.106,NA
AFC_F1_6-1_nov11,1/31/2017,109.26,2.185,1.016,2.15,2.13,0.048,NA
AFC_F1_8-1_nov11,1/31/2017,107.42,2.148,1.167,1.84,1.79,2.362,NA
AFC_F1_13-1_sept28,1/31/2017,103.82,2.076,0.997,2.08,1.99,0.079,NA
AFC_F1_2-3_jan31,1/31/2017,88.42,1.768,0.927,1.91,1.81,1.52,NA
AFC_F1_8-1_nov11,1/31/2017,69.03,1.381,0.658,2.1,2.08,0.023,NA
AFC_F1_18-1_sept28,1/31/2017,52.35,1.047,0.529,1.98,1.86,0.048,NA
AFC_F1_18-1_sept28,1/31/2017,33.28,0.666,0.352,1.89,1.81,-0.005,NA
AFC_F1_12-1_nov11,1/31/2017,26.55,0.531,0.273,1.94,2.22,-0.009,NA
AFC_F1_12-1_nov11,1/31/2017,25.36,0.507,0.233,2.18,2.38,-0.011,NA
AFC_F1_18-4_sept28,1/31/2017,16.22,0.324,0.196,1.65,1.67,0.007,NA
AFC_F1_5-1_sept28,1/31/2017,13.8,0.276,0.16,1.73,1.14,0.026,NA
AFC_F1_5-1_sept28,1/31/2017,12.81,0.256,0.15,1.7,1.65,0.039,NA
AFC-70-1-F1,11/29/2016,587.17,11.743,5.499,2.14,2.9,0.282,11-Nov
MC-9-2-F1,11/29/2016,531.48,10.63,5.21,2.04,1.38,1.186,22-Nov
