population,female_id,sub_id,generation,unique_id,ng_ul,r260.280,r260.230
AFC,30,2,F1,AFC-30-2-F1,23.32,2.17,2.7
AFC,42,4,F1,AFC-42-4-F1,474.43,2.07,1.52
AFC,42,3,F1,AFC-42-3-F1,418.49,2.14,1.78
AFC,42,2,F1,AFC-42-2-F1,349,2.08,1.67
AFC,42,1,F1,AFC-42-1-F1,317.25,2.13,2.92
AFC,42,1,F1,AFC-42-1-F1,165.22,2.09,2.37
AFC,43,1,F1,AFC-43-1-F1,144.63,2.08,2.4
AFC,43,3,F1,AFC-43-3-F1,53.24,1.94,1.6
AFC,43,3,F1,AFC-43-3-F1,50.51,1.88,1.76
AFC,43,2,F1,AFC-43-2-F1,20.65,1.92,1.87
AFC,43,2,F1,AFC-43-2-F1,18.89,2.09,1.78
AFC,43,4,F1,AFC-43-4-F1,10.36,2.26,1.94
AFC,43,4,F1,AFC-43-4-F1,8.84,2.17,1.9
AFC,46,3,F1,AFC-46-3-F1,487.59,2.14,2.02
AFC,46,1,F1,AFC-46-1-F1,396.48,2.15,2.2
AFC,46,4,F1,AFC-46-4-F1,364.04,2.2,2.45
AFC,46,2,F1,AFC-46-2-F1,302.36,2.13,1.69
AFC,47,3,F1,AFC-47-3-F1,521.26,1.99,1.99
AFC,47,3,F1,AFC-47-3-F1,450.2,2.13,2.12
AFC,47,2,F1,AFC-47-2-F1,393.3,2,1.44
AFC,47,2,F1,AFC-47-2-F1,391.18,1.98,1.33
AFC,47,4,F1,AFC-47-4-F1,348.14,2.16,2.27
AFC,47,1,F1,AFC-47-1-F1,211.33,2.07,1.67
AFC,48,4,F1,AFC-48-4-F1,556.78,2.13,2.12
AFC,48,2,F1,AFC-48-2-F1,255.39,2.15,2.12
AFC,48,1,F1,AFC-48-1-F1,248.88,2.17,1.97
AFC,48,3,F1,AFC-48-3-F1,38.08,2.04,2.21
AFC,48,3,F1,AFC-48-3-F1,37.38,2.03,2.29
AFC,49,1,F1,AFC-49-1-F1,284.39,1.87,1
AFC,49,4,F1,AFC-49-4-F1,252.93,1.97,1.24
AFC,49,1,F1,AFC-49-1-F1,201.74,1.97,1.28
AFC,49,4,F1,AFC-49-4-F1,146.2,2.19,2
AFC,49,3,F1,AFC-49-3-F1,78.85,2.05,2.04
AFC,49,2,F1,AFC-49-2-F1,15.78,1.93,1.48
AFC,49,2,F1,AFC-49-2-F1,13.7,1.91,1.54
AFC,50,4,F1,AFC-50-4-F1,503.08,2.25,2.19
AFC,50,3,F1,AFC-50-3-F1,325.39,2.17,2.3
AFC,50,2,F1,AFC-50-2-F1,312.13,2.11,1.87
AFC,50,1,F1,AFC-50-1-F1,294.06,2.1,3.09
AFC,50,1,F1,AFC-50-1-F1,137.31,2.07,1.62
AFC,51,1,F1,AFC-51-1-F1,397.32,2.1,1.69
AFC,51,3,F1,AFC-51-3-F1,333.82,2.24,3.17
AFC,51,2,F1,AFC-51-2-F1,86.93,2.19,2.46
AFC,51,4,F1,AFC-51-4-F1,37.56,2.17,-1.81
AFC,51,1,F1,AFC-51-1-F1,21.66,2.48,2.39
AFC,51,1,F1,AFC-51-1-F1,21.24,2.09,2.25
AFC,54,3,F1,AFC-54-3-F1,482.55,2.15,2.19
AFC,54,2,F1,AFC-54-2-F1,461.4,2.2,2.24
AFC,54,1,F1,AFC-54-1-F1,406.68,2.21,2.27
AFC,54,4,F1,AFC-54-4-F1,21.7,1.88,1.98
AFC,54,4,F1,AFC-54-4-F1,13.85,1.88,1.94
AFC,55,3,F1,AFC-55-3-F1,378.25,2.18,2.37
AFC,55,3,F1,AFC-55-3-F1,335.48,2.16,2.39
AFC,55,1,F1,AFC-55-1-F1,312.52,2.13,2.18
AFC,55,4,F1,AFC-55-4-F1,312.26,2.15,2.62
AFC,55,1,F1,AFC-55-1-F1,258.49,1.94,4.2
AFC,55,2,F1,AFC-55-2-F1,238.06,2.15,1.98
AFC,56,4,F1,AFC-56-4-F1,394.55,2.22,2.35
AFC,56,1,F1,AFC-56-1-F1,298.22,2.27,2.48
AFC,56,2,F1,AFC-56-2-F1,261.35,2.23,2.34
AFC,56,3,F1,AFC-56-3-F1,8.26,2.54,2.14
AFC,56,3,F1,AFC-56-3-F1,7.61,1.88,2.02
AFC,57,1,F1,AFC-57-1-F1,570.06,2.09,2.21
AFC,57,3,F1,AFC-57-3-F1,550.15,2.19,2.2
AFC,57,4,F1,AFC-57-4-F1,396.02,2.16,2.37
AFC,57,2,F1,AFC-57-2-F1,54.57,2.09,2.41
AFC,59,4,F1,AFC-59-4-F1,NA,NA,NA
AFC,59,1,F1,AFC-59-1-F1,332.49,2.12,1.89
AFC,59,2,F1,AFC-59-2-F1,154.87,2.08,1.55
AFC,59,3,F1,AFC-59-3-F1,100.23,2.07,1.62
AFC,60,4,F1,AFC-60-4-F1,403.75,2.09,1.83
AFC,60,3,F1,AFC-60-3-F1,264.13,1.87,0.98
AFC,60,1,F1,AFC-60-1-F1,208.06,2.19,2.27
AFC,60,3,F1,AFC-60-3-F1,154.51,2.05,1.34
AFC,60,2,F1,AFC-60-2-F1,19.85,2.02,2.37
AFC,60,2,F1,AFC-60-2-F1,18.3,1.73,2.42
AFC,63,2,F1,AFC-63-2-F1,NA,NA,NA
AFC,63,4,F1,AFC-63-4-F1,437.67,2.18,2.95
AFC,63,1,F1,AFC-63-1-F1,164.83,2.12,1.89
AFC,63,3,F1,AFC-63-3-F1,66.41,1.89,-16.85
AFC,63,3,F1,AFC-63-3-F1,54.42,1.98,-3.21
AFC,64,3,F1,AFC-64-3-F1,528.07,2,1.73
AFC,64,4,F1,AFC-64-4-F1,418.13,2.26,1.77
AFC,64,1,F1,AFC-64-1-F1,336.67,2.13,3.17
AFC,64,2,F1,AFC-64-2-F1,318.22,2.14,2
AFC,64,1,F1,AFC-64-1-F1,178.11,2.1,1.91
AFC,66,4,F1,AFC-66-4-F1,NA,NA,NA
AFC,66,3,F1,AFC-66-3-F1,355.52,2.18,2.68
AFC,66,1,F1,AFC-66-1-F1,187.25,2.07,1.55
AFC,66,2,F1,AFC-66-2-F1,181.96,2.02,1.66
AFC,66,1,F1,AFC-66-1-F1,169.38,1.99,2.67
AFC,67,2,F1,AFC-67-2-F1,357.39,2.19,1.95
AFC,67,3,F1,AFC-67-3-F1,64.7,2.15,2.12
AFC,67,1,F1,AFC-67-1-F1,61.4,1.97,-1.54
AFC,67,4,F1,AFC-67-4-F1,54.31,1.95,2.29
AFC,67,4,F1,AFC-67-4-F1,31.7,2.01,2.32
AFC,68,3,F1,AFC-68-3-F1,348.57,2.12,1.93
AFC,68,4,F1,AFC-68-4-F1,175.98,1.78,1.8
AFC,68,4,F1,AFC-68-4-F1,167.52,1.92,1.76
AFC,68,1,F1,AFC-68-1-F1,154.33,2.16,-475.98
AFC,68,2,F1,AFC-68-2-F1,100.14,1.99,1.39
AFC,68,2,F1,AFC-68-2-F1,90.23,1.97,1.61
AFC,68,1,F1,AFC-68-1-F1,3.01,3.92,1.36
AFC,68,1,F1,AFC-68-1-F1,2.74,2.41,1.3
AFC,70,3,F1,AFC-70-3-F1,723.88,2.21,2.01
AFC,70,2,F1,AFC-70-2-F1,629.79,2.2,2.28
AFC,70,1,F1,AFC-70-1-F1,587.17,2.14,2.9
AFC,70,1,F1,AFC-70-1-F1,374.79,2.13,1.84
AFC,70,4,F1,AFC-70-4-F1,357.87,1.99,1.7
AFC,71,3,F1,AFC-71-3-F1,550.46,2.03,2.12
AFC,71,2,F1,AFC-71-2-F1,532.01,2.12,2.15
AFC,71,1,F1,AFC-71-1-F1,481.36,2.13,3.23
AFC,71,4,F1,AFC-71-4-F1,242.26,2.1,2.01
AFC,71,1,F1,AFC-71-1-F1,72.19,1.95,1.86
MC,6,1,F1,MC-6-1-F1,NA,NA,NA
MC,6,3,F1,MC-6-3-F1,NA,NA,NA
MC,6,4,F1,MC-6-4-F1,NA,NA,NA
MC,6,2,F1,MC-6-2-F1,386.41,1.9,0.98
MC,9,3,F1,MC-9-3-F1,NA,NA,NA
MC,9,4,F1,MC-9-4-F1,NA,NA,NA
MC,9,2,F1,MC-9-2-F1,531.48,2.04,1.38
MC,9,1,F1,MC-9-1-F1,20.4,1.9,2.11
MC,13,4,F1,MC-13-4-F1,405.15,2.19,2.15
MC,13,1,F1,MC-13-1-F1,293.66,2.1,1.49
MC,13,2,F1,MC-13-2-F1,292.57,2.11,1.51
MC,13,1,F1,MC-13-1-F1,275.01,2.07,1.47
MC,13,3,F1,MC-13-3-F1,252.18,2.07,1.49
MC,13,1,F1,MC-13-1-F1,204.44,2.2,1.79
MC,13,2,F1,MC-13-2-F1,176.03,2.25,1.98
MC,14,1,F1,MC-14-1-F1,449.74,2.29,2.45
MC,14,4,F1,MC-14-4-F1,360.25,2.17,2.38
MC,14,2,F1,MC-14-2-F1,72.15,1.84,1.56
MC,14,2,F1,MC-14-2-F1,71.94,1.89,1.65
MC,14,2,F1,MC-14-2-F1,31.91,2.11,0.94
MC,14,3,F1,MC-14-3-F1,16.71,1.8,1.48
MC,14,3,F1,MC-14-3-F1,15.7,1.71,1.57
MC,15,2,F1,MC-15-2-F1,203.21,2.21,1.73
MC,15,4,F1,MC-15-4-F1,190.2,2.1,2.16
MC,15,1,F1,MC-15-1-F1,170.95,2.19,1.98
MC,15,3,F1,MC-15-3-F1,9.8,1.51,2.01
MC,15,3,F1,MC-15-3-F1,9.25,3.7,2.76
MC,17,2,F1,MC-17-2-F1,209.36,2.16,1.94
MC,17,4,F1,MC-17-4-F1,39.85,1.83,1.3
MC,17,4,F1,MC-17-4-F1,39.46,1.78,1.29
MC,17,1,F1,MC-17-1-F1,26.57,2.07,1.43
MC,17,3,F1,MC-17-3-F1,12.55,1.86,1.5
MC,17,3,F1,MC-17-3-F1,12.44,1.66,1.86
MC,20,3,F1,MC-20-3-F1,299.11,1.87,1.13
MC,20,3,F1,MC-20-3-F1,250.53,1.96,1.36
MC,20,2,F1,MC-20-2-F1,195.19,2.06,2.09
MC,20,2,F1,MC-20-2-F1,72.68,2.25,2.17
MC,20,4,F1,MC-20-4-F1,57.22,1.89,2.29
MC,20,4,F1,MC-20-4-F1,56.3,1.88,2.28
MC,20,1,F1,MC-20-1-F1,31.01,1.36,1.22
MC,20,1,F1,MC-20-1-F1,25.88,2.35,0.46
MC,20,1,F1,MC-20-1-F1,22.93,2.22,0.71
MC,27,3,F1,MC-27-3-F1,NA,NA,NA
MC,27,4,F1,MC-27-4-F1,NA,NA,NA
MC,27,2,F1,MC-27-2-F1,17.74,1.99,0.76
MC,27,1,F1,MC-27-1-F1,16.42,2.21,0.96
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
