population,line_id,type,unique_id,nano,qubit,vol
MC,6,F1,MC_F1_6-1,677.71,,
MC,6,F1,MC_F1_6-5,323.43,,
MC,6,L,MC-L6-1,327.78,,
MC,6,L,MC-L6-4,225.04,,
MC,6,L,MC-L6-1,19.03,,
MC,6,L,MC-L6-3,306.28,,
MC,6,M,MC-M06-F1-feb16,54.24,,
MC,6,F,MC_F6_F1_feb21,243.96,,
MC,7,M,MC-M07-F1-feb16,174.99,,
MC,7,F,MC_F7_F1_feb21,172.11,,
MC,8,M,MC-M08-F1-feb16,15.17,,
MC,8,F,MC_F8_F1_feb21,535.83,,
MC,9,F1,MC-9-2-F1,531.48,,
MC,9,L,MC_F1_L9-1,241.05,,
MC,9,L,MC_F1_L9-3,276.9,,
MC,9,F1,MC_F1_9-1,578.58,,
MC,9,F1,MC_F1_9-3,254.21,,
MC,9,M,MC-M09-F1-feb16,10.84,,
MC,9,F,MC_F9_F1_feb21,314.64,,
MC,10,M,MC-M10-F1-feb16,24.19,,
MC,11,M,MC-M11-F1-feb16,25.9,,
MC,11,F,MC_F11_F1_feb21,237.38,,
MC,12,M,MC-M12-F1-feb16,13.19,,
MC,12,F,MC_F12_F1_feb21,144.67,,
MC,13,F1,MC-13-4-F1,405.15,181,
MC,13,F1,MC-13-1-F1,257.7033333,140,
MC,13,L,MC-L13-1,262.19,,
MC,13,L,MC-L13-4,305.8,,
MC,13,L,MC-L13-1,262.19,,
MC,13,L,MC-L13-4,305.8,,
MC,13,M,MC-M13-F1-feb16,12.09,,
MC,13,F,MC_F13_F1_feb21,481.76,,
MC,14,F1,MC-14-1-F1,449.74,,
MC,14,F1,MC-14-4-F1,360.25,257,
MC,14,L,MC-L14-1,393.02,,
MC,14,L,MC-L14-3,434.06,,
MC,14,L,MC-L14-1,393.02,,
MC,14,L,MC-L14-3,434.06,,
MC,14,M,MC-M14-F1-feb16,22.71,,
MC,14,F,MC_F14_F1_feb21,517.58,,
MC,15,F1,MC-15-2-F1,203.21,,
MC,15,F1,MC-15-4-F1,190.2,134,
MC,15,L,MC-L15-1,280.61,,
MC,15,L,MC-L15-3,376.11,,
MC,15,L,MC-L15-1,280.61,,
MC,15,L,MC-L15-3,376.11,,
MC,15,M,MC_M15_F1_feb21,32.88,,
MC,15,F,MC_F15_F1_feb21,171.16,,
MC,16,M,MC_M16_F1_feb21,20.55,,
MC,17,F1,MC-17-2-F1,209.36,,
MC,17,M,MC_M17_F1_feb21,14.83,,
MC,17,F,MC_F17_F1_feb21,8.5,,
MC,18,M,MC_M18_F1_feb21,27.43,,
MC,18,F,MC_F18_F1_feb21,163.47,,
MC,19,F,MC_F1_F19,169.39,,
MC,19,M,MC_M19_F1_feb21,41.06,,
MC,20,F1,MC-20-3-F1,274.82,111,
MC,20,F1,MC-20-2-F1,133.935,108,
MC,20,F,MC_F1_F20,203.64,,
MC,20,L,MC-L20-2,288.91,,
MC,20,L,MC-L20-3,200.21,,
MC,20,M,MC_M20_F1_feb21,20.54,,
MC,21,M,MC_M21_F1_feb21,60.19,,
MC,22,F,MC_F1_F22,466.17,,
MC,22,M,MC_M22_F1_feb21,9.73,,
MC,23,F,MC_F1_F23,507.99,,
MC,23,M,MC_M23_F1_feb21,29.13,,
MC,24,M,MC_M24_F1_feb21,22.82,,
MC,25,F,MC_F1_F25,563.88,,
MC,25,M,MC_M25_F1_feb21,15.25,,
MC,26,F,MC_F1_F26,481.38,,
MC,26,M,MC_M26_F1_feb21,25.35,,
MC,27,L,MC-L27-1,25.98,,
MC,27,L,MC-L27-3,209.04,,
MC,27,F1,MC-27-1-F1,16.42,,
MC,27,F1,MC-27-2-F1,17.74,,
MC,27,M,MC_M27_F1_feb21,57.64,,
MC,28,M,MC_M28_F1_feb21,38.33,,
MV,225,L,MV_F1_L-2,534.52,,
MV,225,L,MV_F1_L-11,327.28,,
MV,225,L,MV-L4,263.75,,
MV,225,L,MV-L5,279.74,,
MV,225,L,MV-L7,365.22,,
MV,225,L,MV-L10,261.71,,
VY,VY,L,VY-L1,390.04,,
VY,VY,L,VY-L3,407.34,,
VY,VY,L,VY-L6,191.17,,
VY,VY,L,VY-L7,340.79,,
VY,VY,L,VY-L10,325.05,,
VY,VY,L,VY-L11,332.02,,
