population,line_id,type,unique_id,nano,qubit_measured,qubit_vol,qubit_actual
MC,19,F,MC_F1_F19,169.39,227,,
MC,20,F,MC_F1_F20,203.64,188,,
MC,22,F,MC_F1_F22,466.17,454,,
MC,23,F,MC_F1_F23,507.99,426,,
MC,25,F,MC_F1_F25,563.88,411,,
MC,26,F,MC_F1_F26,481.38,333,,
MC,9,F1,MC_F1_9-1,578.58,540,,
MC,9,F1,MC_F1_9-3,254.21,356,,
MC,6,F1,MC_F1_6-1,677.71,375,,
MC,6,F1,MC_F1_6-5,323.43,,,
AFC,57,L,AFC-L57-1,382.01,458,,
AFC,57,L,AFC-L57-4,341.77,434,,
AFC,60,L,AFC-L60-2,363.86,398,,
AFC,60,L,AFC-L60-3,665.18,409,,
MC,6,L,MC-L6-1,327.78,,,
MC,6,L,MC-L6-4,225.04,28,,
MC,13,L,MC-L13-1,262.19,,,
MC,13,L,MC-L13-4,305.8,,,
MC,14,L,MC-L14-1,393.02,,,
MC,14,L,MC-L14-3,434.06,,,
MC,15,L,MC-L15-1,280.61,,,
MC,15,L,MC-L15-3,376.11,,,
AFC,30,L,AFC-L30-1,332.11,397,,
AFC,30,L,AFC-L30-4,201.36,403,,
AFC,49,L,AFC-L49-2,124.34,184,,
AFC,49,L,AFC-L49-3,199.9,313,,
MC,27,L,MC-L27-1,25.98,31.2,,
MC,27,L,MC-L27-3,209.04,312,,
AFC,14,L,AFC-L14-2,21.04,20.2,,
AFC,14,L,AFC-L14-3,89.42,104,,
MC,20,L,MC-L20-2,288.91,343,,
MC,20,L,MC-L20-3,200.21,285,,
MC,6,L,MC-L6-1,19.03,13.7,,
MC,6,L,MC-L6-3,306.28,379,,
MV,225,L,MV-L4,263.75,324,,
MV,225,L,MV-L5,279.74,304,,
MV,225,L,MV-L7,365.22,387,,
MV,225,L,MV-L10,261.71,250,,
AFC,56,L,AFC-L56-2,320.93,193,,
AFC,56,L,AFC-L56-3,270.64,329,,
AFC,12,L,AFC-L12-1,214.41,,,
AFC,12,L,AFC-L12-4,184.02,,,
AFC,17,L,AFC-L17-4,217.28,,,
AFC,47,L,AFC-L47-2,166.22,283,,
AFC,47,L,AFC-L47-4,270.66,337,,
FL,14,L,FL-L2,287,337,,
FL,14,L,FL-L3,374.08,358,,
FL,14,L,FL-L6,283.78,303,,
FL,14,L,FL-L7,277.57,372,,
FL,14,L,FL-L10,197.33,184,,
FL,14,L,FL-L11,339.7,204,,
VY,VY,L,VY-L1,390.04,313,,
VY,VY,L,VY-L3,407.34,386,,
VY,VY,L,VY-L6,191.17,156,,
VY,VY,L,VY-L7,340.79,312,,
VY,VY,L,VY-L10,325.05,257,,
VY,VY,L,VY-L11,332.02,292,,
MC,27,F1,MC-27-1-F1,16.42,26.6,1,
MC,27,F1,MC-27-2-F1,17.74,25.3,1,
MC,14,M,MC-M14-F1-feb16,22.71,31.6,,
MC,13,M,MC-M13-F1-feb16,12.09,19.6,,
MC,12,M,MC-M12-F1-feb16,13.19,26.8,,
MC,11,M,MC-M11-F1-feb16,25.9,24,,
MC,10,M,MC-M10-F1-feb16,24.19,15,,
MC,9,M,MC-M09-F1-feb16,10.84,9.18,,
MC,8,M,MC-M08-F1-feb16,15.17,16.6,,
MC,7,M,MC-M07-F1-feb16,174.99,305,,
MC,6,M,MC-M06-F1-feb16,54.24,75.8,,
MC,5,M,MC-M05-F1-feb16,105.81,162,,
MC,4,M,MC-M04-F1-feb16,39.37,41.9,,
MC,3,M,MC-M03-F1-feb16,21.33,27.1,,
MC,2,M,MC-M02-F1-feb16,17.43,11.8,,
MC,1,M,MC-M01-F1-feb16,101.9,135,,
MC,17,M,MC_M17_F1_feb21,14.83,15,,
MC,18,M,MC_M18_F1_feb21,27.43,26.1,,
MC,19,M,MC_M19_F1_feb21,41.06,50.9,,
MC,20,M,MC_M20_F1_feb21,20.54,19.3,,
MC,21,M,MC_M21_F1_feb21,60.19,101,,
MC,27,M,MC_M27_F1_feb21,57.64,68.8,,
MC,28,M,MC_M28_F1_feb21,38.33,63.1,,
MC,15,M,MC_M15_F1_feb21,32.88,31.6,,
MC,23,M,MC_M23_F1_feb21,29.13,25.5,,
MC,16,M,MC_M16_F1_feb21,20.55,33.2,,
MC,24,M,MC_M24_F1_feb21,22.82,27.2,,
MC,25,M,MC_M25_F1_feb21,15.25,13.2,,
MC,26,M,MC_M26_F1_feb21,25.35,32.7,,
MC,22,M,MC_M22_F1_feb21,9.73,17.9,,
MC,1,F,MC_F1_F1_feb21,419.7,374,,
MC,2,F,MC_F2_F1_feb21,524.84,580,,
MC,3,F,MC_F3_F1_feb21,184.46,130,,
MC,4,F,MC_F4_F1_feb21,508.28,483,,
MC,5,F,MC_F5_F1_feb21,311.68,207,,
MC,6,F,MC_F6_F1_feb21,243.96,322,,
MC,7,F,MC_F7_F1_feb21,172.11,244,,
MC,8,F,MC_F8_F1_feb21,535.83,463,,
MC,9,F,MC_F9_F1_feb21,314.64,460,,
MC,11,F,MC_F11_F1_feb21,237.38,355,,
MC,12,F,MC_F12_F1_feb21,144.67,222,,
MC,13,F,MC_F13_F1_feb21,481.76,540,,
MC,14,F,MC_F14_F1_feb21,517.58,490,,
MC,15,F,MC_F15_F1_feb21,171.16,284,,
MC,17,F,MC_F17_F1_feb21,8.5,7.28,,
MC,18,F,MC_F18_F1_feb21,163.47,201,,
