pop,line_id,type,unique_id,plate,row,col,ul_500ng,max.,water,qubit,~ng
VY,VY,L,VY-L6,1,G,8,32.05,yes,det,15.6,312
MC,1,M,MC-M01-F1,1,G,9,37.04,yes,det,13.5,270
AFC,24,L,AFC_F1_L24-1,1,G,10,9.43,no,40.57,53,1060
AFC,2,F1,AFC-2-4-F1,1,G,11,14.37,no,35.63,34.8,696
MC,5,F,MC_F5_F1,1,G,12,24.15,no,25.85,20.7,414
MC,15,L,MC-L15-3,1,H,1,11.47,no,38.53,43.6,872
MC,6,F,MC_F6_F1,1,H,2,15.53,no,34.47,32.2,644
AFC,14,F1,AFC-14-2-F1,1,H,3,10.99,no,39.01,45.5,910
MC,3,F,MC_F3_F1,1,H,4,38.46,yes,det,13,260
AFC,24,L,AFC_F1_L24-3,1,H,5,10.82,no,39.18,46.2,924
MC,14,L,MC-L14-3,1,H,6,10.64,no,39.36,47,940
AFC,47,F1,AFC-47-2-F1,1,H,7,12.59,no,37.41,39.7,794
AFC,8,F1,AFC-8-3-F1,1,H,8,15.63,no,34.38,32,640
AFC,24,F1,AFC-24-3-F1,1,H,9,13.89,no,36.11,36,720
MC,13,F1,MC-13-1-F1,1,H,10,17.86,no,32.14,28,560
AFC,18,F1,AFC-18-3-F1,1,H,11,13.51,no,36.49,37,740
AFC,68,F1,AFC-68-3-F1,1,H,12,23.36,no,26.64,21.4,428
AFC,60,F1,AFC-60-3-F1,2,A,1,20.16,no,29.84,24.8,496
MC,7,F,MC_F7_F1,2,A,2,20.49,no,29.51,24.4,488
MV,225,L,MV-L10,2,A,3,20,no,30,25,500
MC,22,F,MC_F1_F22,2,A,4,11.01,no,38.99,45.4,908
AFC,57,F1,AFC-57-1-F1,2,A,5,10.59,no,39.41,47.2,944
MC,14,F1,MC-14-4-F1,2,A,6,9.73,no,40.27,51.4,1028
MC,6,F1,MC_F1_6-5,2,A,7,23.36,no,26.64,21.4,428
MC,8,F,MC_F8_F1,2,A,8,10.8,no,39.2,46.3,926
MC,20,L,MC-L20-3,2,A,9,17.54,no,32.46,28.5,570
AFC,71,F1,AFC-71-2-F1,2,A,10,9.26,no,40.74,54,1080
MC,4,F,MC_F4_F1,2,A,11,10.35,no,39.65,48.3,966
AFC,63,F1,AFC-63-4-F1,2,A,12,11.39,no,38.61,43.9,878
AFC,68,F1,AFC-68-4-F1,2,B,1,45.87,yes,det,10.9,218
AFC,56,L,AFC-L56-2,2,B,2,25.91,yes,det,19.3,386
MC,20,F1,MC-20-2-F1,2,B,3,46.3,yes,det,10.8,216
AFC,3,F1,AFC-3-1-F1,2,B,4,20.33,no,29.67,24.6,492
VY,VY,L,VY-L1,2,B,5,15.97,no,34.03,31.3,626
VY,VY,L,VY-L7,2,B,6,16.03,no,33.97,31.2,624
MC,18,F,MC_F18_F1,2,B,7,24.88,no,25.12,20.1,402
AFC,30,F1,AFC-30-1-F1,2,B,8,16.84,no,33.16,29.7,594
AFC,63,F1,AFC-63-1-F1,2,B,9,17.92,no,32.08,27.9,558
MC,14,F,MC_F14_F1,2,B,10,10.2,no,39.8,49,980
AFC,48,F1,AFC-48-2-F1,2,B,11,14.37,no,35.63,34.8,696
FL,14,L,FL-L7,2,B,12,13.44,no,36.56,37.2,744
AFC,49,F1,AFC-49-1-F1,2,C,1,14.01,no,35.99,35.7,714
AFC,57,L,AFC-L57-1,2,C,2,10.92,no,39.08,45.8,916
AFC,57,F1,AFC-57-3-F1,2,C,3,9.62,no,40.38,52,1040
FL,14,L,FL-L6,2,C,4,16.5,no,33.5,30.3,606
MC,15,F1,MC-15-2-F1,2,C,5,20.83,no,29.17,24,480
MC,19,F,MC_F1_F19,2,C,6,22.03,no,27.97,22.7,454
AFC,49,F1,AFC-49-4-F1,2,C,7,14.16,no,35.84,35.3,706
FL,14,L,FL-L3,2,C,8,13.97,no,36.03,35.8,716
AFC,67,F1,AFC-67-2-F1,2,C,9,28.9,yes,det,17.3,346
AFC,28,F1,AFC-28-2-F1,2,C,10,13.4,no,36.6,37.3,746
MV,225,L,MV-L4,2,C,11,15.43,no,34.57,32.4,648
AFC,43,F1,AFC-43-3-F1,2,C,12,68.78,yes,det,7.27,145
AFC,54,F1,AFC-54-3-F1,2,D,1,10.06,no,39.94,49.7,994
AFC,60,F1,AFC-60-4-F1,2,D,2,10.85,no,39.15,46.1,922
MC,15,L,MC-L15-1,2,D,3,11.36,no,38.64,44,880
AFC,1,F1,AFC-1-3-F1,2,D,4,36.76,yes,det,13.6,272
AFC,19,F1,AFC-19-3-F1,2,D,5,17.06,no,32.94,29.3,586
VY,VY,L,VY-L3,2,D,6,12.95,no,37.05,38.6,772
AFC,14,F1,AFC-14-1-F1,2,D,7,9.09,no,40.91,55,1100
AFC,27,F1,AFC-27-3-F1,2,D,8,16.34,no,33.66,30.6,612
MC,2,F,MC_F2_F1,2,D,9,8.62,no,41.38,58,1160
AFC,30,F1,AFC-30-4-F1,2,D,10,12.02,no,37.98,41.6,832
AFC,49,L,AFC-L49-2,2,D,11,27.17,yes,det,18.4,368
AFC,30,L,AFC-L30-1,2,D,12,12.59,no,37.41,39.7,794
AFC,29,F1,AFC-29-3-F1,2,E,1,19.84,no,30.16,25.2,504
MV,225,L,MV-L7,2,E,2,12.92,no,37.08,38.7,774
FL,14,L,FL-L2,2,E,3,14.84,no,35.16,33.7,674
AFC,12,L,AFC_F1_L12-2,2,E,4,36.23,yes,det,13.8,276
AFC,59,F1,AFC-59-1-F1,2,E,5,11.76,no,38.24,42.5,850
MC,26,F,MC_F1_F26,2,E,6,15.02,no,34.98,33.3,666
MC,14,L,MC-L14-1,2,E,7,11.06,no,38.94,45.2,904
MC,9,L,MC_F1_L9-1,2,E,8,13.33,no,36.67,37.5,750
AFC,48,L,AFC_F1_L48-1,2,E,9,14.08,no,35.92,35.5,710
AFC,47,L,AFC-L47-2,2,E,10,17.67,no,32.33,28.3,566
MC,6,L,MC-L6-2,2,E,11,17.12,no,32.88,29.2,584
AFC,19,L,AFC_F1_L19-4,2,E,12,11.04,no,38.96,45.3,906
AFC,51,F1,AFC-51-3-F1,2,F,1,11.55,no,38.45,43.3,866
MC,15,F1,MC-15-4-F1,2,F,2,18.66,no,31.34,26.8,536
AFC,50,F1,AFC-50-4-F1,2,F,3,8.47,no,41.53,59,1180
MC,28,M,MC_M28_F1,2,F,4,79.24,yes,det,6.31,126
AFC,5,F1,AFC-5-4-F1,2,F,5,16.08,no,33.92,31.1,622
VY,VY,L,VY-L11,2,F,6,17.12,no,32.88,29.2,584
MV,225,L,MV_F1_L-2,2,F,7,13.97,no,36.03,35.8,716
AFC,49,L,AFC-L49-3,2,F,8,15.97,no,34.03,31.3,626
AFC,24,F1,AFC-24-4-F1,2,F,9,21.1,no,28.9,23.7,474
AFC,54,F1,AFC-54-2-F1,2,F,10,10.53,no,39.47,47.5,950
MC,9,L,MC_F1_L9-3,2,F,11,18.45,no,31.55,27.1,542
AFC,66,F1,AFC-66-3-F1,2,F,12,12.17,no,37.83,41.1,822
AFC,13,F1,AFC-13-2-F1,2,G,1,38.46,yes,det,13.1,200
MC,9,F1,MC-9-2-F1,2,G,2,26,yes,det,NA,NA
AFC,74,F1,AFC-64-4-F1,2,G,3,11.49,no,38.51,43.5,
MC,17,L,MC-17-L4,2,G,4,16.6,no,33.4,30,600
MC,17,L,MC-17-L2,2,G,5,16.6,no,33.4,30,600
