population,line_id,type,unique_id,nano,qubit_measured,qubit_vol,qubit_actual,approx_ng,ul for 500 ng,max?,ul water for 50 ul,approx_final_conc,approx_vol_100
AFC,68,F1,AFC-68-3-F1,348.57,214,2,21.4,428,23.36448598,no,26.63551402,10,10
MC,6,F1,MC_F1_6-5,NA,214,2,21.4,428,23.36448598,no,26.63551402,10,10
MC,12,F,MC_F12_F1_feb21,144.67,222,2,22.2,444,22.52252252,no,27.47747748,10,10
MC,19,F,MC_F1_F19,169.39,227,2,22.7,454,22.02643172,no,27.97356828,10,10
AFC,5,F1,AFC-5-2-F1,192.67,234,2,23.4,468,21.36752137,no,28.63247863,10,10
AFC,3,F1,AFC-3-3-F1,383.35,236,2,23.6,472,21.18644068,no,28.81355932,10,10
AFC,24,F1,AFC-24-4-F1,506.73,237,2,23.7,474,21.09704641,no,28.90295359,10,10
AFC,12,L,AFC_F1_L12-4,171.85,238,2,23.8,476,21.00840336,no,28.99159664,10,10
MC,15,F1,MC-15-2-F1,203.21,240,2,24,480,20.83333333,no,29.16666667,10,10
MC,7,F,MC_F7_F1_feb21,172.11,244,2,24.4,488,20.49180328,no,29.50819672,10,10
AFC,3,F1,AFC-3-1-F1,228.83,246,2,24.6,492,20.32520325,no,29.67479675,10,10
AFC,60,F1,AFC-60-3-F1,209.32,248,2,24.8,496,20.16129032,no,29.83870968,10,10
MV,225,L,MV-L10,261.71,250,2,25,500,20,no,30,10,10
AFC,29,F1,AFC-29-3-F1,180.815,252,2,25.2,504,19.84126984,no,30.15873016,10,10
MV,225,L,MV_F1_L-11,327.28,253,2,25.3,506,19.76284585,no,30.23715415,10,10
VY,VY,L,VY-L10,325.05,257,2,25.7,514,19.45525292,no,30.54474708,10,10
AFC,6,F1,AFC-6-2-F1,287.26,261,2,26.1,522,19.15708812,no,30.84291188,10,10
AFC,27,F1,AFC-27-4-F1,243.02,263,2,26.3,526,19.01140684,no,30.98859316,10,10
AFC,43,F1,AFC-43-1-F1,144.63,266,2,26.6,532,18.79699248,no,31.20300752,10,10
MC,15,F1,MC-15-4-F1,190.2,134,1,26.8,536,18.65671642,no,31.34328358,10,10
MC,9,L,MC_F1_L9-3,276.9,271,2,27.1,542,18.4501845,no,31.5498155,10,10
AFC,63,F1,AFC-63-1-F1,164.83,279,2,27.9,558,17.92114695,no,32.07885305,10,10
MC,13,F1,MC-13-1-F1,257.7033333,140,1,28,560,17.85714286,no,32.14285714,10,10
AFC,47,L,AFC-L47-2,166.22,283,2,28.3,566,17.66784452,no,32.33215548,10,10
MC,15,F,MC_F15_F1_feb21,171.16,284,2,28.4,568,17.6056338,no,32.3943662,10,10
MC,20,L,MC-L20-3,200.21,285,2,28.5,570,17.54385965,no,32.45614035,10,10
AFC,12,F1,AFC-12-3-F1,560.9,286,2,28.6,572,17.48251748,no,32.51748252,10,10
