pop,line_id,type,unique_id,plate,col,row,ul_500ng,max.,water,qubit,~ng,q_post_raw,qubit_post_dig,ul_100ng,ul_water
AFC,47,F1,AFC-47-2-F1,P1,7,H,12.59,no,37.41,39.7,794,31.4,6.28,15.9,34.1
AFC,6,F1,AFC-6-3-F1,P1,8,A,28.74,yes,det,17.4,348,43.4,8.68,11.5,38.5
MC,9,F1,MC_F1_9-1,P1,8,B,9.26,no,40.74,54,1080,42.1,8.42,11.9,38.1
AFC,47,L,AFC-L47-4,P1,8,C,14.84,no,35.16,33.7,674,38.3,7.66,13.1,36.9
AFC,56,F1,AFC-56-4-F1,P1,8,D,10.14,no,39.86,49.3,986,25.1,5.02,19.9,30.1
AFC,13,F1,AFC-13-4-F1,P1,8,E,14.16,no,35.84,35.3,706,41.6,8.32,12.0,38.0
AFC,8,F1,AFC-8-2-F1,P1,8,F,16.45,no,33.55,30.4,608,46.4,9.28,10.8,39.2
VY,VY,L,VY-L6,P1,8,G,32.05,yes,det,15.6,312,63.2,12.64,7.9,42.1
AFC,8,F1,AFC-8-3-F1,P1,8,H,15.63,no,34.38,32,640,50.4,10.08,9.9,40.1
MC,20,L,MC-L20-2,P1,9,A,14.58,no,35.42,34.3,686,23.3,4.66,21.5,28.5
AFC,30,L,AFC-L30-4,P1,9,B,12.41,no,37.59,40.3,806,24.2,4.84,20.7,29.3
MC,21,M,MC_M21_F1,P1,9,C,49.5,yes,det,10.1,202,20.5,4.1,24.4,25.6
AFC,48,F1,AFC-48-4-F1,P1,9,D,8.62,no,41.38,58,1160,23.9,4.78,20.9,29.1
AFC,47,F1,AFC-47-3-F1,P1,9,E,11.79,no,38.21,42.4,848,21.6,4.32,23.1,26.9
AFC,56,F1,AFC-56-1-F1,P1,9,F,14.33,no,35.67,34.9,698,26.2,5.24,19.1,30.9
MC,1,M,MC-M01-F1,P1,9,G,37.04,yes,det,13.5,270,23.3,4.66,21.5,28.5
AFC,24,F1,AFC-24-3-F1,P1,9,H,13.89,no,36.11,36,720,25.9,5.18,19.3,30.7
MC,13,F,MC_F13_F1,P1,10,A,9.26,no,40.74,54,1080,10,2,50.0,0.0
AFC,25,F1,AFC-25-4-F1,P1,10,B,33.56,yes,det,14.9,298,6.56,1.312,76.2,-26.2
MC,6,L,MC-L6-3,P1,10,C,14.25,no,35.75,35.1,702,16.6,3.32,30.1,19.9
MC,7,M,MC-M07-F1,P1,10,D,16.39,no,33.61,30.5,610,46.9,9.38,10.7,39.3
FL,14,L,FL-L10,P1,10,E,27.17,yes,det,18.4,368,24.1,4.82,20.7,29.3
MC,13,L,MC-L13-4,P1,10,F,12.56,no,37.44,39.8,796,9.84,1.968,50.8,-0.8
AFC,24,L,AFC_F1_L24-1,P1,10,G,9.43,no,40.57,53,1060,24.8,4.96,20.2,29.8
MC,13,F1,MC-13-1-F1,P1,10,H,17.86,no,32.14,28,560,47.8,9.56,10.5,39.5
AFC,1,F1,AFC-1-4-F1,P1,11,A,16.29,no,33.71,30.7,614,38,7.6,13.2,36.8
MC,13,L,MC-L13-1,P1,11,B,11.71,no,38.29,42.7,854,21.6,4.32,23.1,26.9
AFC,60,L,AFC-L60-2,P1,11,C,12.56,no,37.44,39.8,796,23.7,4.74,21.1,28.9
AFC,42,F1,AFC-42-4-F1,P1,11,D,10.2,no,39.8,49,980,27,5.4,18.5,31.5
AFC,5,F1,AFC-5-2-F1,P1,11,E,21.37,no,28.63,23.4,468,39.9,7.98,12.5,37.5
MC,1,F,MC_F1_F1,P1,11,F,13.37,no,36.63,37.4,748,38.9,7.78,12.9,37.1
AFC,2,F1,AFC-2-4-F1,P1,11,G,14.37,no,35.63,34.8,696,37.8,7.56,13.2,36.8
AFC,18,F1,AFC-18-3-F1,P1,11,H,13.51,no,36.49,37,740,30,6,16.7,33.3
MC,5,M,MC-M05-F1,P1,12,A,30.86,yes,det,16.2,324,6.38,1.276,78.4,-28.4
MC,12,F,MC_F12_F1,P1,12,B,22.52,no,27.48,22.2,444,9.2,1.84,54.3,-4.3
AFC,57,L,AFC-L57-4,P1,12,C,11.52,no,38.48,43.4,868,17,3.4,29.4,20.6
MV,225,L,MV_F1_L-11,P1,12,D,19.76,no,30.24,25.3,506,45.5,9.1,11.0,39.0
AFC,27,F1,AFC-27-4-F1,P1,12,E,19.01,no,30.99,26.3,526,25.3,5.06,19.8,30.2
AFC,7,F1,AFC-7-4-F1,P1,12,F,12.95,no,37.05,38.6,772,48.4,9.68,10.3,39.7
MC,5,F,MC_F5_F1,P1,12,G,24.15,no,25.85,20.7,414,52.5,10.5,9.5,40.5
AFC,68,F1,AFC-68-3-F1,P1,12,H,23.36,no,26.64,21.4,428,53.5,10.7,9.3,40.7
AFC,60,F1,AFC-60-3-F1,P2,1,A,20.16,no,29.84,24.8,496,21.2,4.24,23.6,26.4
AFC,68,F1,AFC-68-4-F1,P2,1,B,45.87,yes,det,10.9,218,18.1,3.62,27.6,22.4
AFC,49,F1,AFC-49-1-F1,P2,1,C,14.01,no,35.99,35.7,714,17.8,3.56,28.1,21.9
AFC,54,F1,AFC-54-3-F1,P2,1,D,10.06,no,39.94,49.7,994,23.3,4.66,21.5,28.5
AFC,29,F1,AFC-29-3-F1,P2,1,E,19.84,no,30.16,25.2,504,24.2,4.84,20.7,29.3
AFC,51,F1,AFC-51-3-F1,P2,1,F,11.55,no,38.45,43.3,866,28.4,5.68,17.6,32.4
AFC,13,F1,AFC-13-2-F1,P2,1,G,38.46,yes,det,13.1,200,32.2,6.44,15.5,34.5
AFC,63,F1,AFC-63-4-F1,P2,1,H,11.39,no,38.61,43.9,878,28.9,5.78,17.3,32.7
MC,7,F,MC_F7_F1,P2,2,A,20.49,no,29.51,24.4,488,29,5.8,17.2,32.8
AFC,56,L,AFC-L56-2,P2,2,B,25.91,yes,det,19.3,386,49.4,9.88,10.1,39.9
AFC,57,L,AFC-L57-1,P2,2,C,10.92,no,39.08,45.8,916,13.3,2.66,37.6,12.4
AFC,60,F1,AFC-60-4-F1,P2,2,D,10.85,no,39.15,46.1,922,27.5,5.5,18.2,31.8
MV,225,L,MV-L7,P2,2,E,12.92,no,37.08,38.7,774,22.8,4.56,21.9,28.1
MC,15,F1,MC-15-4-F1,P2,2,F,18.66,no,31.34,26.8,536,9.68,1.936,51.7,-1.7
MC,9,F1,MC-9-2-F1,P2,2,G,26,yes,det,NA,NA,43.5,8.7,11.5,38.5
FL,14,L,FL-L7,P2,2,H,13.44,no,36.56,37.2,744,23.2,4.64,21.6,28.4
MV,225,L,MV-L10,P2,3,A,20,no,30,25,500,28.6,5.72,17.5,32.5
MC,20,F1,MC-20-2-F1,P2,3,B,46.3,yes,det,10.8,216,13.5,2.7,37.0,13.0
AFC,57,F1,AFC-57-3-F1,P2,3,C,9.62,no,40.38,52,1040,5.13,1.026,97.5,-47.5
MC,15,L,MC-L15-1,P2,3,D,11.36,no,38.64,44,880,11.4,2.28,43.9,6.1
FL,14,L,FL-L2,P2,3,E,14.84,no,35.16,33.7,674,26.6,5.32,18.8,31.2
AFC,50,F1,AFC-50-4-F1,P2,3,F,8.47,no,41.53,59,1180,20.8,4.16,24.0,26.0
AFC,74,F1,AFC-64-4-F1,P2,3,G,11.49,no,38.51,43.5,,35.5,7.1,14.1,35.9
AFC,43,F1,AFC-43-3-F1,P2,3,H,68.78,yes,det,7.27,145,7.73,1.546,64.7,-14.7
MC,22,F,MC_F1_F22,P2,4,A,11.01,no,38.99,45.4,908,52.1,10.42,9.6,40.4
AFC,3,F1,AFC-3-1-F1,P2,4,B,20.33,no,29.67,24.6,492,15.8,3.16,31.6,18.4
FL,14,L,FL-L6,P2,4,C,16.5,no,33.5,30.3,606,44.3,8.86,11.3,38.7
AFC,1,F1,AFC-1-3-F1,P2,4,D,36.76,yes,det,13.6,272,98.2,19.64,5.1,44.9
AFC,12,L,AFC_F1_L12-2,P2,4,E,36.23,yes,det,13.8,276,30.2,6.04,16.6,33.4
MC,28,M,MC_M28_F1,P2,4,F,79.24,yes,det,6.31,126,11.5,2.3,43.5,6.5
